Règle_ID,Conditions,Cluster_Assigné,Nombre_Individus
527,"marital_status ∈ ['Union libre', 'Veuf(ve)'] ET bancarise <= 0.50 ET age_num <= 33 ans ET milieu_resid = 'Urbain' ET sex = 'Masculin' ET city ∈ ['ABENGOUROU', 'ABIDJAN', 'ABIGUI']",1,1
709,"marital_status = 'Divorcé(e)' ET bancarise > 0.50 ET sex = 'Masculin' ET age_num <= 41 ans ET milieu_resid = 'Rural' ET region_name ∈ ['AGNEBY-TIASSA', 'AUTONOME D'ABIDJAN', 'BAFING', 'BAGOUE', 'BELIER', 'BERE', 'BOUNKANI', 'CAVALLY', 'FOLON', 'GBEKE', 'GBÔKLE', 'GONTOUGO', 'GRANDS-PONTS', 'GUEMON', 'GÔH', 'HAMBOL', 'HAUT-SASSANDRA', 'IFFOU', 'INDENIE-DJUABLIN', 'KABADOUGOU', 'LA ME', 'LÔH-DJIBOUA', 'MARAHOUE', 'MORONOU', 'N'ZI', 'NAWA', 'PORO', 'SAN-PEDRO', 'SUD-COMOE', 'TCHOLOGO', 'TONKPI', 'WORODOUGOU']",2,2
723,marital_status = 'Séparé' ET bancarise > 0.50 ET sex = 'Masculin' ET 27 < age_num <= 41 ans ET milieu_resid = 'Rural',2,6
724,"marital_status ∈ ['Union libre', 'Veuf(ve)'] ET bancarise > 0.50 ET sex = 'Masculin' ET age_num <= 41 ans ET milieu_resid = 'Rural'",2,180
753,"marital_status = 'Divorcé(e)' ET bancarise > 0.50 ET sex = 'Masculin' ET 41 < age_num <= 56 ans ET milieu_resid = 'Rural' ET city ∈ ['ABENGOUROU', 'ABIDJAN', 'ABIGUI', 'ABOISSO', 'ABOISSO-COMOE', 'ABONGOUA', 'ABOUDE', 'ADAOU', 'ADIAKE', 'ADJOUAN', 'ADZOPE', 'AFFERY', 'AGBOVILLE', 'AGNIBILEKROU', 'AGOU', 'AHOUANOU', 'AKOBOISSUE', 'AKOUPE', 'ALEPE', 'ALLOSSO', 'AMELEKIA', 'ANANDA', 'ANANGUIE', 'ANDE', 'ANDO-KEKRENOU', 'ANGODA', 'ANIASSUE', 'ANNEPE', 'ANOUMABA', 'ANYAMA', 'ARRHA', 'ASSAHARA', 'ASSIE-KOUMASSI', 'ASSIKOI', 'ASSUEFRY', 'ATTIEGOUAKRO', 'ATTOBROU', 'ATTOUTOU', 'AYAME', 'AYAOU-SRAN', 'AZAGUIE', 'BACANDA', 'BADIKAHA', 'BAGOHOUO', 'BAKO', 'BAKOUBLY', 'BANGOLO', 'BASSAWA', 'BAYOTA', 'BAZRA-NATTIS', 'BAZRE', 'BECEDI-BRIGNAN', 'BECOUEFIN', 'BEDIALA', 'BEDY-GOAZON', 'BEGBESSOU', 'BENGASSOU', 'BEOUMI', 'BETTIE', 'BIANKOUMA', 'BIANOUAN', 'BIEBY', 'BILIMORO', 'BIN-HOUYE', 'BINGERVILLE', 'BLAPLEU', 'BLENIMEOUIN', 'BLESSEGUE', 'BLOLEQUIN', 'BOBI', 'BOCANDA', 'BODOKRO', 'BOGUEDIA', 'BOLI', 'BONDO', 'BONDOUKOU', 'BONGO', 'BONGOUANOU', 'BONGUERA', 'BONIEREDOUGOU', 'BONON', 'BONOUA']",2,1
765,marital_status = 'Séparé' ET bancarise > 0.50 ET sex = 'Masculin' ET 41 < age_num <= 45 ans ET milieu_resid = 'Rural',2,4
768,marital_status = 'Union libre' ET bancarise > 0.50 ET sex = 'Masculin' ET 41 < age_num <= 57 ans ET milieu_resid = 'Rural',2,48
769,marital_status = 'Veuf(ve)' ET bancarise > 0.50 ET sex = 'Masculin' ET 41 < age_num <= 46 ans ET milieu_resid = 'Rural',2,3
773,marital_status = 'Union libre' ET bancarise > 0.50 ET sex = 'Masculin' ET 57 < age_num <= 63 ans ET milieu_resid = 'Rural',2,7
673,"marital_status ∈ ['Divorcé(e)', 'Marié(e)'] ET bancarise > 0.50 ET sex = 'Féminin' ET milieu_resid = 'Urbain' ET city ∈ ['ABENGOUROU', 'ABIDJAN', 'ABIGUI'] ET region_name ∈ ['GBÔKLE', 'GONTOUGO', 'GRANDS-PONTS', 'GUEMON', 'GÔH', 'HAMBOL', 'HAUT-SASSANDRA', 'IFFOU', 'INDENIE-DJUABLIN', 'KABADOUGOU', 'LA ME', 'LÔH-DJIBOUA', 'MARAHOUE', 'MORONOU', 'N'ZI', 'NAWA', 'PORO', 'SAN-PEDRO', 'SUD-COMOE', 'TCHOLOGO', 'TONKPI', 'WORODOUGOU', 'YAMOUSSOUKRO']",3,16
